Feature,Mean_Abs_SHAP
Curricular units 2nd sem (approved),1.1987883941659143
Tuition fees up to date,0.5314404653550536
Curricular units 1st sem (approved),0.281946588520459
Course,0.27124975319948297
Age at enrollment,0.2646370481299648
Curricular units 2nd sem (grade),0.2418696622935223
Gender,0.13685497986365452
Scholarship holder,0.13191436251802158
Curricular units 2nd sem (enrolled),0.1284069575496414
Unemployment rate,0.10733483826296297
Application mode,0.1051835060361076
Debtor,0.0875807760465781
Mother's occupation,0.08163207672441836
Curricular units 1st sem (grade),0.07857848258958107
Curricular units 1st sem (enrolled),0.07780005921463393
